"ville;CP;Latitude ville;Longitude ville"
"Saint-Fargeau-Ponthierry;77310;48.56528;2.53361"
"Saint-Fiacre;77470;48.92278;2.95472"
"Saint-Germain-Laval;77130;48.40111;2.99944"
"Saint-Germain-Laxis;77950;48.58417;2.71056"
"Saint-Germain-sous-Doue;77169;48.85278;3.14444"
"Saint-Germain-sur-École;77930;48.47556;2.50917"
"Saint-Germain-sur-Morin;77860;48.88222;2.85083"
"Saint-Hilliers;77160;48.62139;3.25889"
"Saint-Jean-les-Deux-Jumeaux;77660;48.95139;3.02000"
"Saint-Just-en-Brie;77370;48.59972;3.10472"
"Saint-Léger;77510;48.85306;3.27611"
"Saint-Loup-de-Naud;77650;48.53611;3.21083"
"Saint-Mammès;77670;48.38667;2.81139"
"Saint-Mard;77230;49.03695;2.69639"
"Saint-Mars-Vieux-Maisons;77320;48.74250;3.32111"
"Saint-Martin-des-Champs;77320;48.77861;3.33667"
"Saint-Martin-du-Boschet;77320;48.73694;3.42806"
"Saint-Martin-en-Bière;77630;48.43806;2.56806"
"Saint-Méry;77720;48.57778;2.82750"
"Saint-Mesmes;77410;48.98333;2.69417"
"Saint-Ouen-en-Brie;77720;48.55750;2.91833"
"Saint-Ouen-sur-Morin;77750;48.90556;3.19222"
"Saint-Pathus;77178;49.06972;2.80028"
"Saint-Pierre-lès-Nemours;77140;48.26639;2.68028"
"Saint-Rémy-la-Vanne;77320;48.79278;3.23333"
"Saint-Sauveur-lès-Bray;77480;48.43778;3.20889"
"Saint-Sauveur-sur-École;77930;48.49694;2.54944"
"Saint-Siméon;77169;48.79833;3.20333"
"Saint-Soupplets;77165;49.03889;2.80583"
"Saint-Thibault-des-Vignes;77400;48.86917;2.68861"
"Sainte-Aulde;77260;48.99528;3.19889"
"Sainte-Colombe;77650;48.53639;3.26528"
"Salins;77148;48.42056;3.02194"
"Sammeron;77260;48.94722;3.08694"
"Samois-sur-Seine;77920;48.45222;2.75000"
"Samoreau;77210;48.42389;2.75139"
"Sancy;77580;48.88556;2.95833"
"Sancy-lès-Provins;77320;48.69639;3.39444"
"Savigny-le-Temple;77176;48.57611;2.58389"
"Savins;77650;48.51111;3.20083"
"Seine-Port;77240;48.55778;2.54806"
"Sept-Sorts;77260;48.93750;3.10389"
"Serris;77700;48.84555;2.78778"
"Servon;77170;48.71750;2.58778"
"Signy-Signets;77640;48.92722;3.06917"
"Sigy;77520;48.47778;3.18250"
"Sivry-Courtry;77115;48.52861;2.75583"
"Sognolles-en-Montois;77520;48.51028;3.16861"
"Soignolles-en-Brie;77111;48.65306;2.69861"
"Soisy-Bouy;77650;48.51111;3.29556"
"Solers;77111;48.65861;2.71806"
"Souppes-sur-Loing;77460;48.18583;2.73278"
"Sourdun;77171;48.53695;3.34833"
"Tancrou;77440;49.00167;3.05083"
"Thénisy;77520;48.48889;3.17806"
"Thieux;77230;49.00972;2.66806"
"Thomery;77810;48.40944;2.78667"
"Thorigny-sur-Marne;77400;48.88556;2.71667"
"Thoury-Férottes;77940;48.29056;2.94333"
"Tigeaux;77163;48.82750;2.90111"
"la Tombe;77130;48.38778;3.09083"
"Torcy;77200;48.85111;2.65000"
"Touquin;77131;48.73583;3.01250"
"Tournan-en-Brie;77220;48.73944;2.76750"
"Tousson;77123;48.34667;2.45806"
"la Trétoire;77510;48.87361;3.25194"
"Treuzy-Levelay;77710;48.27694;2.80278"
"Trilbardou;77450;48.94194;2.80556"
"Trilport;77470;48.95750;2.94833"
"Trocy-en-Multien;77440;49.04222;2.96278"
"Ury;77760;48.34139;2.60194"
"Ussy-sur-Marne;77260;48.95500;3.07167"
"Vaires-sur-Marne;77360;48.87056;2.64167"
"Valence-en-Brie;77830;48.44417;2.89083"
"Vanvillé;77370;48.55556;3.10806"
"Varennes-sur-Seine;77130;48.37500;2.92667"
